sweep: 9590 primes to do (0 already in vdsweep-fullwitness-100k.csv)
sweep: 9590 primes to do (0 already in vdsweep-fullwitness-100k.csv)
200/9590 primes, 3m24s elapsed
400/9590 primes, 6m38s elapsed
600/9590 primes, 9m42s elapsed
800/9590 primes, 12m50s elapsed
1000/9590 primes, 15m41s elapsed
1200/9590 primes, 18m14s elapsed
1400/9590 primes, 20m35s elapsed
1600/9590 primes, 23m1s elapsed
1800/9590 primes, 25m18s elapsed
2000/9590 primes, 27m30s elapsed
2200/9590 primes, 29m32s elapsed
2400/9590 primes, 31m25s elapsed
2600/9590 primes, 33m7s elapsed
2800/9590 primes, 34m42s elapsed
3000/9590 primes, 36m18s elapsed
3200/9590 primes, 37m45s elapsed
3400/9590 primes, 39m6s elapsed
3600/9590 primes, 40m23s elapsed
3800/9590 primes, 41m34s elapsed
4000/9590 primes, 42m39s elapsed
4200/9590 primes, 43m43s elapsed
4400/9590 primes, 44m38s elapsed
4600/9590 primes, 45m30s elapsed
4800/9590 primes, 46m15s elapsed
5000/9590 primes, 46m56s elapsed
5200/9590 primes, 47m33s elapsed
5400/9590 primes, 48m7s elapsed
5600/9590 primes, 48m36s elapsed
5800/9590 primes, 49m2s elapsed
6000/9590 primes, 49m27s elapsed
6200/9590 primes, 49m49s elapsed
6400/9590 primes, 50m7s elapsed
6600/9590 primes, 50m25s elapsed
6800/9590 primes, 50m39s elapsed
7000/9590 primes, 50m52s elapsed
7200/9590 primes, 51m2s elapsed
7400/9590 primes, 51m11s elapsed
7600/9590 primes, 51m18s elapsed
7800/9590 primes, 51m23s elapsed
8000/9590 primes, 51m28s elapsed
8200/9590 primes, 51m31s elapsed
8400/9590 primes, 51m33s elapsed
8600/9590 primes, 51m35s elapsed
8800/9590 primes, 51m36s elapsed
9000/9590 primes, 51m36s elapsed
9200/9590 primes, 51m37s elapsed
9400/9590 primes, 51m37s elapsed
9590/9590 primes, 51m37s elapsed
DONE: 9590 primes this run, 0 without witness, max tries 11 (at p=90371), 51m37s
