p,i,m,l,t,u
37,32,4,149,2,13
37,32,6,223,2,13
37,32,16,593,2,36
37,32,34,1259,2,2
37,32,40,1481,2,28
37,32,48,1777,2,4
37,32,54,1999,2,29
37,32,60,2221,2,31
37,32,70,2591,2,24
37,32,78,2887,2,24
37,32,84,3109,2,24
37,32,88,3257,2,27
37,32,90,3331,2,16
37,32,100,3701,2,35
37,32,106,3923,2,36
37,32,114,4219,2,18
37,32,120,4441,2,18
37,32,126,4663,2,28
37,32,138,5107,2,10
37,32,148,5477,2,36
37,32,166,6143,2,21
37,32,168,6217,2,9
37,32,180,6661,2,15
37,32,186,6883,2,27
37,32,196,7253,2,2
37,32,204,7549,2,13
37,32,214,7919,2,5
37,32,216,7993,2,21
37,32,226,8363,2,22
37,32,238,8807,2,18
37,32,244,9029,2,11
37,32,246,9103,2,5
37,32,256,9473,2,5
37,32,258,9547,2,30
37,32,264,9769,2,24
37,32,274,10139,2,18
37,32,288,10657,2,8
37,32,298,11027,2,17
37,32,310,11471,3,5
37,32,330,12211,2,35
37,32,336,12433,2,29
37,32,354,13099,3,30
37,32,364,13469,2,10
37,32,370,13691,2,13
37,32,376,13913,2,8
37,32,390,14431,2,12
37,32,396,14653,2,9
37,32,414,15319,2,16
37,32,418,15467,2,27
37,32,420,15541,2,20
37,32,450,16651,2,27
37,32,460,17021,2,3
37,32,468,17317,2,9
37,32,474,17539,2,7
37,32,480,17761,2,1
37,32,484,17909,2,3
37,32,490,18131,2,27
37,32,496,18353,2,6
37,32,498,18427,2,26
37,32,508,18797,3,14
37,32,526,19463,2,28
37,32,534,19759,2,34
37,32,544,20129,2,9
37,32,568,21017,2,31
37,32,576,21313,2,32
37,32,586,21683,2,34
37,32,588,21757,2,15
37,32,604,22349,2,35
37,32,610,22571,2,35
37,32,630,23311,3,11
37,32,634,23459,2,15
37,32,648,23977,2,22
37,32,660,24421,2,13
37,32,676,25013,2,25
37,32,678,25087,2,6
37,32,684,25309,5,28
37,32,688,25457,2,13
37,32,694,25679,2,31
37,32,720,26641,2,1
37,32,726,26863,2,8
37,32,730,27011,2,14
37,32,744,27529,2,35
37,32,750,27751,2,25
37,32,784,29009,2,27
37,32,790,29231,2,30
37,32,796,29453,2,9
37,32,798,29527,2,5
37,32,814,30119,2,32
37,32,820,30341,2,35
37,32,828,30637,2,20
37,32,834,30859,2,7
37,32,840,31081,2,10
37,32,868,32117,2,34
37,32,870,32191,2,2
37,32,876,32413,2,2
37,32,880,32561,2,21
37,32,886,32783,2,0
37,32,900,33301,2,29
37,32,916,33893,2,15
37,32,918,33967,2,31
59,44,12,709,2,30
59,44,14,827,2,18
59,44,18,1063,2,54
59,44,20,1181,2,29
59,44,32,1889,2,8
59,44,38,2243,2,1
59,44,48,2833,2,3
59,44,54,3187,2,11
59,44,60,3541,2,31
59,44,62,3659,2,37
59,44,68,4013,2,13
59,44,78,4603,2,52
59,44,80,4721,2,22
59,44,84,4957,2,11
59,44,98,5783,2,49
59,44,108,6373,2,48
59,44,110,6491,2,56
59,44,132,7789,2,34
59,44,134,7907,2,17
59,44,152,8969,2,3
59,44,158,9323,2,3
59,44,164,9677,2,10
59,44,174,10267,2,48
59,44,182,10739,2,53
59,44,188,11093,2,13
59,44,192,11329,2,14
59,44,194,11447,3,22
59,44,200,11801,2,3
59,44,204,12037,2,35
59,44,210,12391,2,32
59,44,222,13099,2,15
59,44,224,13217,2,39
59,44,234,13807,2,28
59,44,248,14633,2,45
59,44,252,14869,2,36
59,44,288,16993,2,5
59,44,330,19471,2,12
59,44,344,20297,2,37
59,44,348,20533,2,0
59,44,354,20887,2,46
59,44,368,21713,2,12
59,44,374,22067,2,1
59,44,378,22303,2,22
59,44,390,23011,2,29
59,44,402,23719,2,43
59,44,420,24781,2,42
59,44,428,25253,2,7
59,44,452,26669,2,4
59,44,462,27259,2,19
59,44,474,27967,2,44
59,44,482,28439,2,29
59,44,488,28793,2,27
59,44,494,29147,2,6
59,44,498,29383,2,2
59,44,500,29501,2,54
59,44,510,30091,2,42
59,44,528,31153,2,31
59,44,530,31271,2,6
59,44,552,32569,2,39
59,44,554,32687,2,58
59,44,572,33749,2,20
59,44,584,34457,2,7
59,44,588,34693,2,6
59,44,600,35401,2,17
59,44,612,36109,2,16
59,44,630,37171,2,20
59,44,638,37643,2,24
59,44,642,37879,2,19
59,44,644,37997,2,6
59,44,650,38351,2,51
59,44,684,40357,2,58
59,44,692,40829,2,55
59,44,698,41183,2,23
59,44,728,42953,2,42
59,44,732,43189,2,50
59,44,738,43543,2,12
59,44,740,43661,2,39
59,44,762,44959,2,36
59,44,764,45077,2,34
59,44,774,45667,2,21
59,44,780,46021,2,40
59,44,810,47791,2,43
59,44,834,49207,2,6
59,44,848,50033,2,51
59,44,854,50387,2,34
59,44,860,50741,2,2
59,44,872,51449,2,23
59,44,878,51803,2,11
59,44,890,52511,2,22
59,44,894,52747,2,16
59,44,900,53101,2,28
59,44,914,53927,2,22
59,44,918,54163,2,44
59,44,924,54517,2,38
59,44,938,55343,2,58
59,44,942,55579,2,27
59,44,944,55697,2,36
59,44,948,55933,2,41
59,44,972,57349,2,26
59,44,974,57467,2,19
67,58,4,269,2,40
67,58,24,1609,2,45
67,58,28,1877,2,5
67,58,30,2011,2,65
67,58,46,3083,2,35
67,58,48,3217,2,11
67,58,60,4021,2,55
67,58,64,4289,2,59
67,58,66,4423,2,53
67,58,70,4691,2,57
67,58,78,5227,2,26
67,58,88,5897,2,34
67,58,94,6299,2,24
67,58,100,6701,2,63
67,58,106,7103,2,54
67,58,108,7237,2,22
67,58,114,7639,2,11
67,58,118,7907,2,12
67,58,126,8443,2,34
67,58,144,9649,2,16
67,58,156,10453,2,0
67,58,168,11257,2,12
67,58,178,11927,2,56
67,58,184,12329,2,53
67,58,198,13267,2,55
67,58,204,13669,3,11
67,58,210,14071,2,17
67,58,220,14741,2,18
67,58,228,15277,2,38
67,58,234,15679,2,62
67,58,244,16349,2,44
67,58,268,17957,2,39
67,58,276,18493,2,61
67,58,286,19163,2,2
67,58,294,19699,2,56
67,58,300,20101,2,52
67,58,304,20369,2,41
67,58,310,20771,2,14
67,58,328,21977,2,5
67,58,330,22111,2,38
67,58,354,23719,2,17
67,58,360,24121,2,12
67,58,388,25997,2,59
67,58,394,26399,2,64
67,58,400,26801,2,33
67,58,408,27337,2,65
67,58,414,27739,2,10
67,58,424,28409,2,63
67,58,438,29347,2,41
67,58,456,30553,2,36
67,58,466,31223,2,62
67,58,468,31357,2,27
67,58,478,32027,2,7
67,58,484,32429,2,30
67,58,486,32563,2,55
67,58,490,32831,2,63
67,58,504,33769,2,45
67,58,510,34171,2,8
67,58,514,34439,2,16
67,58,520,34841,2,13
67,58,546,36583,2,41
67,58,556,37253,2,21
67,58,574,38459,2,60
67,58,576,38593,2,61
67,58,580,38861,2,47
67,58,588,39397,2,4
67,58,594,39799,2,43
67,58,624,41809,2,20
67,58,646,43283,2,36
67,58,658,44087,2,47
67,58,660,44221,2,9
67,58,666,44623,2,24
67,58,676,45293,2,42
67,58,678,45427,2,33
67,58,694,46499,2,46
67,58,696,46633,2,58
67,58,700,46901,2,45
67,58,706,47303,2,46
67,58,774,51859,2,7
67,58,778,52127,2,1
67,58,784,52529,2,36
67,58,814,54539,2,57
67,58,816,54673,2,63
67,58,820,54941,2,50
67,58,826,55343,2,46
67,58,850,56951,2,44
67,58,858,57487,2,0
67,58,876,58693,2,38
67,58,888,59497,2,12
67,58,898,60167,2,16
67,58,906,60703,2,44
67,58,918,61507,2,35
67,58,924,61909,2,21
67,58,930,62311,2,35
67,58,940,62981,2,18
67,58,958,64187,2,26
67,58,976,65393,2,64
67,58,984,65929,2,48
67,58,996,66733,2,41
67,58,1008,67537,2,61
103,24,6,619,2,69
103,24,10,1031,2,89
103,24,12,1237,2,25
103,24,22,2267,2,94
103,24,24,2473,2,28
103,24,36,3709,2,81
103,24,42,4327,2,6
103,24,54,5563,2,83
103,24,70,7211,2,13
103,24,72,7417,2,97
103,24,76,7829,2,39
103,24,82,8447,2,16
103,24,100,10301,2,92
103,24,114,11743,2,96
103,24,126,12979,2,48
103,24,132,13597,2,66
103,24,136,14009,2,13
103,24,142,14627,2,35
103,24,150,15451,2,55
103,24,156,16069,2,19
103,24,160,16481,2,93
103,24,166,17099,2,34
103,24,174,17923,2,27
103,24,180,18541,2,7
103,24,190,19571,2,16
103,24,192,19777,2,7
103,24,202,20807,2,58
103,24,204,21013,2,4
103,24,226,23279,3,75
103,24,234,24103,2,87
103,24,246,25339,2,65
103,24,262,26987,2,45
103,24,276,28429,2,71
103,24,334,34403,2,59
103,24,342,35227,2,45
103,24,364,37493,2,36
103,24,366,37699,2,70
103,24,372,38317,2,72
103,24,376,38729,2,12
103,24,394,40583,2,92
103,24,400,41201,2,2
103,24,412,42437,2,27
103,24,414,42643,2,24
103,24,420,43261,2,97
103,24,432,44497,2,3
103,24,436,44909,2,38
103,24,450,46351,2,80
103,24,460,47381,2,55
103,24,474,48823,2,14
103,24,484,49853,2,0
103,24,504,51913,2,79
103,24,516,53149,2,47
103,24,540,55621,2,48
103,24,546,56239,2,39
103,24,552,56857,2,51
103,24,556,57269,2,71
103,24,570,58711,2,72
103,24,574,59123,2,45
103,24,604,62213,2,45
103,24,622,64067,3,44
103,24,630,64891,2,31
103,24,640,65921,2,7
103,24,652,67157,2,32
103,24,670,69011,2,88
103,24,694,71483,2,28
103,24,700,72101,2,79
103,24,702,72307,2,46
103,24,706,72719,2,16
103,24,720,74161,2,84
103,24,724,74573,2,75
103,24,726,74779,2,6
103,24,762,78487,2,61
103,24,780,80341,2,95
103,24,790,81371,2,24
103,24,804,82813,2,1
103,24,810,83431,2,36
103,24,814,83843,2,10
103,24,834,85903,2,12
103,24,856,88169,2,28
103,24,864,88993,2,48
103,24,870,89611,2,97
103,24,874,90023,2,40
103,24,880,90641,2,98
103,24,882,90847,2,25
103,24,894,92083,2,92
103,24,904,93113,2,35
103,24,906,93319,2,79
103,24,912,93937,2,46
103,24,916,94349,2,89
103,24,930,95791,2,18
103,24,940,96821,2,59
103,24,952,98057,2,70
103,24,1000,103001,2,91
103,24,1006,103619,2,85
103,24,1032,106297,2,66
103,24,1056,108769,2,102
103,24,1062,109387,2,34
103,24,1074,110623,2,9
103,24,1084,111653,2,31
103,24,1114,114743,2,28
149,130,8,1193,2,23
149,130,12,1789,2,40
149,130,14,2087,2,51
149,130,18,2683,2,93
149,130,50,7451,2,25
149,130,60,8941,2,14
149,130,62,9239,2,48
149,130,68,10133,2,51
149,130,72,10729,2,85
149,130,74,11027,2,2
149,130,84,12517,2,88
149,130,90,13411,2,73
149,130,92,13709,2,10
149,130,102,15199,2,147
149,130,104,15497,2,121
149,130,114,16987,2,130
