p,l,N,t,tries,found
5,11,1,2,1,true
7,29,2,2,1,true
11,67,3,2,2,true
13,53,2,2,1,true
23,47,1,2,1,true
41,83,1,2,1,true
17,103,3,2,1,true
19,191,5,2,1,true
29,233,4,2,2,true
31,311,5,2,1,true
37,149,2,2,1,true
43,431,5,2,2,true
47,283,3,2,1,true
53,743,7,2,2,true
59,709,6,2,1,true
61,367,3,2,1,true
67,269,2,2,1,true
71,569,4,2,1,true
73,293,2,2,1,true
79,317,2,2,1,true
83,167,1,2,1,true
89,179,1,2,1,true
97,971,5,2,2,true
101,809,4,2,2,true
103,619,3,2,1,true
107,643,3,2,1,true
113,227,1,2,1,true
127,509,2,2,1,true
139,557,2,2,1,true
151,907,3,2,1,true
173,347,1,2,1,true
191,383,1,2,1,true
199,797,2,2,1,true
239,479,1,2,1,true
281,563,1,2,1,true
293,587,1,2,1,true
359,719,1,2,1,true
419,839,1,2,1,true
431,863,1,2,1,true
443,887,1,2,1,true
491,983,1,2,1,true
131,1049,4,2,3,true
137,1097,4,2,2,true
149,1193,4,2,1,true
179,1433,4,2,2,true
181,1811,5,2,2,true
193,1931,5,2,2,true
233,1399,3,2,2,true
241,1447,3,2,1,true
251,4519,9,2,2,true
257,1543,3,2,1,true
263,1579,3,2,1,true
269,2153,4,2,1,true
271,1627,3,2,1,true
277,4987,9,2,3,true
283,1699,3,2,1,true
307,1229,2,2,1,true
311,1867,3,2,1,true
313,1879,3,2,1,true
331,1987,3,2,1,true
337,6067,9,2,3,true
347,2083,3,2,1,true
353,4943,7,2,1,true
367,3671,5,2,2,true
373,1493,2,2,1,true
379,4549,6,2,1,true
397,6353,8,2,2,true
409,4091,5,2,2,true
421,4211,5,2,1,true
433,5197,6,2,2,true
439,4391,5,2,1,true
449,3593,4,2,1,true
463,5557,6,2,1,true
467,2803,3,2,1,true
479,3833,4,2,1,true
487,1949,2,2,1,true
499,1997,2,2,1,true
503,3019,3,2,1,true
509,4073,4,2,2,true
523,6277,6,2,2,true
541,9739,9,2,1,true
547,5471,5,2,1,true
563,7883,7,2,1,true
569,6829,6,2,1,true
571,5711,5,2,1,true
577,3463,3,2,2,true
587,8219,7,2,1,true
593,1187,1,2,1,true
599,4793,4,2,1,true
613,6131,5,2,1,true
631,6311,5,2,1,true
641,1283,1,2,1,true
647,9059,7,2,1,true
653,1307,1,2,1,true
659,1319,1,2,1,true
673,2693,2,2,1,true
677,5417,4,2,1,true
683,4099,3,2,2,true
691,8293,6,2,2,true
709,2837,2,2,1,true
719,1439,1,2,1,true
727,4363,3,2,2,true
733,7331,5,2,1,true
739,2957,2,2,1,true
743,1487,1,2,1,true
751,4507,3,2,1,true
761,1523,1,2,1,true
809,1619,1,2,1,true
811,8111,5,2,1,true
821,6569,4,2,1,true
829,9949,6,2,2,true
857,6857,4,2,1,true
863,5179,3,2,1,true
887,5323,3,2,1,true
907,5443,3,2,1,true
911,1823,1,2,1,true
929,7433,4,2,1,true
937,5623,3,2,1,true
941,5647,3,2,1,true
947,5683,3,2,1,true
953,1907,1,2,1,true
971,5827,3,2,1,true
977,7817,4,2,1,true
997,3989,2,2,1,true
1031,2063,1,2,1,true
1033,4133,2,2,1,true
1039,4157,2,2,1,true
1061,6367,3,2,1,true
1063,4253,2,2,1,true
1091,6547,3,2,1,true
109,2399,11,2,2,true
1093,4373,2,2,1,true
1103,2207,1,2,1,true
1123,4493,2,2,1,true
1129,4517,2,2,1,true
1151,6907,3,2,1,true
1193,7159,3,2,1,true
1223,2447,1,2,1,true
1229,2459,1,2,1,true
1283,7699,3,2,1,true
1289,2579,1,2,1,true
1297,5189,2,2,1,true
1321,7927,3,2,1,true
1327,5309,2,2,1,true
1361,8167,3,2,1,true
1423,5693,2,2,1,true
1427,8563,3,2,1,true
1429,5717,2,2,1,true
1433,8599,3,2,1,true
1451,2903,1,2,1,true
1453,5813,2,2,1,true
1481,2963,1,2,1,true
1487,8923,3,2,1,true
1499,2999,1,2,1,true
1511,9067,3,2,2,true
1531,9187,3,2,1,true
1543,6173,2,2,1,true
1549,6197,2,2,1,true
1559,3119,1,2,1,true
1567,9403,3,2,2,true
157,7537,24,2,5,true
163,5869,18,2,3,true
1663,6653,2,2,1,true
167,7349,22,2,3,true
1733,3467,1,2,1,true
1753,7013,2,2,1,true
1777,7109,2,2,1,true
1811,3623,1,2,1,true
1973,3947,1,2,1,true
197,4729,12,2,2,true
2003,4007,1,2,1,true
2017,8069,2,2,1,true
2039,4079,1,2,1,true
2063,4127,1,2,1,true
2069,4139,1,2,1,true
2143,8573,2,2,1,true
223,6691,15,2,2,true
227,5903,13,2,2,true
229,5039,11,2,2,true
2339,4679,1,2,1,true
2351,4703,1,2,1,true
2393,4787,1,2,1,true
2399,4799,1,2,1,true
2437,9749,2,2,1,true
2459,4919,1,2,1,true
2543,5087,1,2,1,true
2549,5099,1,2,1,true
2693,5387,1,2,1,true
2741,5483,1,2,1,true
2903,5807,1,2,1,true
2939,5879,1,2,1,true
2969,5939,1,2,1,true
3023,6047,1,2,1,true
317,8243,13,2,1,true
3299,6599,1,2,1,true
3359,6719,1,2,1,true
3491,6983,1,2,1,true
349,8377,12,2,2,true
3623,7247,1,2,1,true
3761,7523,1,2,1,true
3779,7559,1,2,1,true
3821,7643,1,2,1,true
3863,7727,1,2,1,true
3911,7823,1,2,1,true
4019,8039,1,2,1,true
4073,8147,1,2,1,true
4211,8423,1,2,1,true
4271,8543,1,2,1,true
4373,8747,1,2,1,true
4409,8819,1,2,1,true
461,9221,10,2,2,true
4733,9467,1,2,1,true
4793,9587,1,2,1,true
4871,9743,1,2,1,true
4943,9887,1,2,1,true
643,10289,8,2,2,true
701,12619,9,2,1,true
757,12113,8,2,1,true
797,11159,7,2,2,true
827,14887,9,2,2,true
839,10069,6,2,1,true
877,15787,9,2,2,true
881,15859,9,2,1,true
883,10597,6,2,3,true
967,15473,8,2,1,true
983,13763,7,2,1,true
991,17839,9,2,1,true
1049,12589,6,2,2,true
1051,12613,6,2,1,true
1109,15527,7,2,2,true
1117,11171,5,2,2,true
1187,16619,7,2,2,true
1201,12011,5,2,2,true
1231,22159,9,2,2,true
1237,19793,8,2,1,true
1249,22483,9,2,2,true
1279,15349,6,2,2,true
1291,12911,5,2,1,true
1303,20849,8,2,1,true
1307,10457,4,2,1,true
1367,10937,4,2,1,true
1381,16573,6,2,2,true
1399,25183,9,2,1,true
1409,19727,7,2,3,true
1459,17509,6,2,2,true
1471,26479,9,2,2,true
1483,14831,5,2,1,true
1489,14891,5,2,1,true
1493,20903,7,2,1,true
1553,18637,6,2,2,true
1571,12569,4,2,1,true
1601,19213,6,2,3,true
1609,19309,6,2,2,true
1619,12953,4,2,1,true
1621,29179,9,2,1,true
1627,29287,9,2,1,true
1657,26513,8,2,1,true
1667,23339,7,2,2,true
1669,16691,5,2,1,true
1693,16931,5,2,2,true
1697,13577,4,2,1,true
1699,20389,6,2,1,true
1723,17231,5,2,1,true
1747,17471,5,2,1,true
1783,21397,6,2,1,true
1787,10723,3,2,1,true
1789,17891,5,2,1,true
1801,21613,6,2,1,true
1823,10939,3,2,1,true
1831,10987,3,2,1,true
1847,11083,3,2,1,true
1871,22453,6,2,2,true
1877,15017,4,2,1,true
1907,34327,9,2,3,true
1931,11587,3,2,2,true
1933,23197,6,2,1,true
1987,31793,8,2,3,true
1993,11959,3,2,1,true
2027,16217,4,2,2,true
2029,36523,9,2,2,true
2081,12487,3,2,1,true
2083,33329,8,2,1,true
2087,37567,9,2,1,true
2099,25189,6,2,1,true
211,10973,26,2,4,true
2113,25357,6,2,1,true
2153,12919,3,2,1,true
2203,13219,3,2,1,true
2207,39727,9,2,2,true
2213,26557,6,2,1,true
