p,cand_old,wit_old,cand_bad,wit_bad,first_l_old,first_l_bad,witnesses_bad
5,1,1,1,1,11,11,11
7,1,1,2,2,29,29,29 43
11,3,2,3,2,67,67,67 89
13,3,2,4,3,53,53,53 79 157
17,3,2,4,3,103,103,103 239 307
19,2,2,4,2,191,191,191 229
23,4,2,6,4,47,47,47 139 599 691
29,4,2,6,3,233,233,233 523 929
31,3,2,5,4,311,311,311 683 1117 1303
37,4,4,6,5,149,149,149 223 593 1259 1777
41,5,4,7,5,83,83,83 739 1231 1559 2297
43,7,5,9,6,431,431,431 947 1033 1291 1549 2237
47,8,5,11,8,283,283,283 659 941 1693 2069 2351 2539 2633
53,5,2,9,4,743,743,743 2333 2969 3923
59,8,6,14,10,709,709,709 827 1063 2243 2833 3187 4013 4603 4721 4957
61,7,5,12,9,367,367,367 977 1709 2441 3539 4027 4271 4637 4759
67,8,6,13,10,269,269,269 1609 3083 3217 4021 4289 4423 4691 5227 6299
71,9,4,12,6,569,569,569 1279 2699 4261 5113 7243
73,10,8,14,10,293,293,293 877 1607 1753 3359 3797 3943 4673 6571 6863
79,10,8,16,12,317,317,317 1423 2213 2371 3793 4583 5531 5689 6163 7901 8059 8849
83,11,8,14,11,167,167,167 997 1163 1993 2657 4483 5479 6143 8467 9463 9629
89,12,9,18,13,179,179,179 2137 2671 3739 3917 4451 5519 6053 7477 8011 9613 10859 11393
97,12,5,16,7,971,971,971 1553 4463 4657 5821 11059 12611
101,14,11,19,13,809,809,809 1213 3637 4243 5051 5657 6263 7879 8081 9091 9293 11717 14747
103,13,6,19,11,619,619,619 1031 1237 5563 8447 10301 11743 12979 13597 14009 15451
107,13,7,18,11,643,643,643 857 1499 2141 9631 10273 10487 12413 12841 14767 16693
109,12,8,14,8,2399,2399,2399 3271 5233 5669 6323 6977 10247 11119
113,15,9,18,9,227,227,227 2939 3391 3617 6781 7459 8363 9041 9719
127,14,11,22,16,509,509,509 3049 5081 5843 7621 9907 11177 11939 13463 14479 15749 18289 19051 22861 23369 23623
131,14,2,21,8,1049,1049,1049 2621 17293 18341 19913 23057 23581 25153
137,17,14,25,18,1097,1097,1097 2467 2741 4933 6029 6577 7673 8221 9043 10139 11783 14249 14797 15619 19181 21647 23017 24113
139,14,9,19,11,557,557,557 1669 2503 7229 11399 11677 12511 13901 15569 21407 25577
149,19,12,21,13,1193,1193,1193 1789 2683 8941 10133 10729 11027 12517 13411 13709 15199 15497 26821
151,17,14,21,16,907,907,907 1511 2417 3323 4229 6343 7853 9967 11779 13591 15101 16007 18121 22349 23557 28087
157,12,6,19,9,7537,7537,7537 9421 14759 15073 19469 24179 30773 32971 35797
163,18,11,25,17,5869,5869,5869 7499 8803 10433 11411 13367 15649 16301 18257 18583 23473 26407 27059 30319 34231 34883 36187
167,13,8,21,12,7349,7349,7349 14029 15031 18371 19373 21377 26053 26387 29059 31063 31397 39079
173,19,15,30,23,347,347,347 2423 3461 4153 6229 9343 9689 12457 13841 14533 19031 21107 21799 25951 28027 30449 36677 37369 39791 40483 40829 43597 43943
179,20,11,30,17,1433,1433,1433 7877 14321 16111 18617 19333 20407 21839 23629 28283 30431 37591 39023 41887 42961 43319 46183
181,22,11,32,18,1811,1811,1811 5431 10499 10861 12671 13757 14843 23893 24979 28961 30047 35839 37649 39097 39821 43441 45613 46337
191,20,8,28,14,383,383,383 6113 16427 19483 21011 22157 22921 35527 38201 40111 40493 45077 45841 49279
193,23,14,32,18,1931,1931,1931 3089 5791 6949 10037 12739 14669 19301 22003 27407 27793 29723 30109 35899 37057 39373 42461 44777
197,21,16,33,26,4729,4729,4729 7487 8669 9851 10639 13003 15761 16943 18913 21277 22853 32309 34673 35461 36643 38219 40189 40583 44129 48463 48857 52009 54767 55949 56737 57131
199,15,6,24,15,797,797,797 3583 16319 17911 28657 29453 40597 43781 44179 46567 47363 51343 53731 55721 58109
211,21,12,28,17,10973,10973,10973 21101 21523 22367 25321 27431 28697 32917 34183 35449 36293 41357 48953 51907 58237 61613 64567
223,21,15,30,21,6691,6691,6691 10259 11597 12043 16057 18287 20963 27653 28099 29437 31667 37019 38803 41479 46831 56197 57089 58427 65563 68239 71807
227,23,13,33,19,5903,5903,5903 8627 11351 12713 17707 19069 23609 24517 24971 39499 39953 42677 46309 59021 60383 62653 65831 66739 69463
229,25,17,38,26,5039,5039,5039 9161 9619 10993 14657 17863 20611 22901 24733 26107 27481 33893 35267 40763 41221 45343 50839 54503 57251 57709 59083 59999 64579 70991 74197 76487
233,26,18,35,21,1399,1399,1399 2797 6991 8389 9787 10253 12583 13049 22369 27961 32621 34019 37747 40543 41941 42407 50329 53591 59183 61979 65707
239,23,10,34,17,479,479,479 1913 3347 5737 14341 24379 33461 52103 54493 55927 57839 59273 63097 76481 79349 80783 82217
