p,cand_old,wit_old,sg_old,joint_old,cand_bad,wit_bad,sg_bad,joint_bad,sg_among_nonwit_bad,first_l_old,first_l_bad,first_joint_bad,witnesses_bad,joint_bad_list
5,1,1,1,1,1,1,1,1,0,11,11,11,11,11
7,1,1,1,1,2,2,1,1,0,29,29,29,29 43,29
11,3,2,2,1,3,2,2,1,1,67,67,89,67 89,89
13,3,2,2,1,4,3,2,1,1,53,53,53,53 79 157,53
17,3,2,2,1,4,3,2,1,1,103,103,239,103 239 307,239
19,2,2,1,1,4,2,2,1,1,191,191,191,191 229,191
23,4,2,2,1,6,4,3,2,1,47,47,47,47 139 599 691,47 599
29,4,2,2,1,6,3,4,2,2,233,233,233,233 523 929,233 929
31,3,2,1,1,5,4,1,1,0,311,311,311,311 683 1117 1303,311
37,4,4,3,3,6,5,4,3,1,149,149,149,149 223 593 1259 1777,149 593 1259
41,5,4,3,2,7,5,4,3,1,83,83,83,83 739 1231 1559 2297,83 1559 2297
43,7,5,4,2,9,6,6,3,3,431,431,431,431 947 1033 1291 1549 2237,431 947 2237
47,8,5,5,3,11,8,7,5,2,283,283,659,283 659 941 1693 2069 2351 2539 2633,659 941 2069 2351 2633
53,5,2,4,1,9,4,6,3,3,743,743,743,743 2333 2969 3923,743 2969 3923
59,8,6,4,2,14,10,7,4,3,709,709,827,709 827 1063 2243 2833 3187 4013 4603 4721 4957,827 2243 4013 4721
61,7,5,4,4,12,9,6,5,1,367,367,977,367 977 1709 2441 3539 4027 4271 4637 4759,977 1709 2441 3539 4637
67,8,6,4,3,13,10,7,5,2,269,269,269,269 1609 3083 3217 4021 4289 4423 4691 5227 6299,269 3083 4289 4691 6299
71,9,4,4,2,12,6,5,2,3,569,569,569,569 1279 2699 4261 5113 7243,569 2699
73,10,8,5,5,14,10,6,5,1,293,293,293,293 877 1607 1753 3359 3797 3943 4673 6571 6863,293 1607 3359 3797 4673
79,10,8,4,3,16,12,6,5,1,317,317,317,317 1423 2213 2371 3793 4583 5531 5689 6163 7901 8059 8849,317 2213 4583 7901 8849
83,11,8,6,4,14,11,7,5,2,167,167,167,167 997 1163 1993 2657 4483 5479 6143 8467 9463 9629,167 1163 2657 6143 9629
89,12,9,6,5,18,13,9,6,3,179,179,179,179 2137 2671 3739 3917 4451 5519 6053 7477 8011 9613 10859 11393,179 3917 4451 5519 6053 10859
97,12,5,8,3,16,7,10,4,6,971,971,971,971 1553 4463 4657 5821 11059 12611,971 1553 4463 12611
101,14,11,6,5,19,13,9,7,2,809,809,809,809 1213 3637 4243 5051 5657 6263 7879 8081 9091 9293 11717 14747,809 5051 5657 8081 9293 11717 14747
103,13,6,6,3,19,11,7,4,3,619,619,1031,619 1031 1237 5563 8447 10301 11743 12979 13597 14009 15451,1031 8447 10301 14009
107,13,7,7,4,18,11,8,4,4,643,643,857,643 857 1499 2141 9631 10273 10487 12413 12841 14767 16693,857 1499 2141 10487
109,12,8,6,5,14,8,7,5,2,2399,2399,2399,2399 3271 5233 5669 6323 6977 10247 11119,2399 5669 6323 6977 10247
113,15,9,8,5,18,9,8,5,3,227,227,227,227 2939 3391 3617 6781 7459 8363 9041 9719,227 2939 3617 8363 9041
127,14,11,7,6,22,16,10,7,3,509,509,509,509 3049 5081 5843 7621 9907 11177 11939 13463 14479 15749 18289 19051 22861 23369 23623,509 5081 5843 11177 13463 15749 23369
131,14,2,7,2,21,8,11,5,6,1049,1049,1049,1049 2621 17293 18341 19913 23057 23581 25153,1049 2621 18341 19913 23057
137,17,14,6,6,25,18,10,9,1,1097,1097,1097,1097 2467 2741 4933 6029 6577 7673 8221 9043 10139 11783 14249 14797 15619 19181 21647 23017 24113,1097 2741 6029 7673 10139 14249 19181 21647 24113
139,14,9,5,5,19,11,9,7,2,557,557,557,557 1669 2503 7229 11399 11677 12511 13901 15569 21407 25577,557 7229 11399 13901 15569 21407 25577
149,19,12,9,5,21,13,9,5,4,1193,1193,1193,1193 1789 2683 8941 10133 10729 11027 12517 13411 13709 15199 15497 26821,1193 10133 11027 13709 15497
151,17,14,9,8,21,16,10,8,2,907,907,1511,907 1511 2417 3323 4229 6343 7853 9967 11779 13591 15101 16007 18121 22349 23557 28087,1511 2417 3323 4229 7853 15101 16007 22349
157,12,6,7,3,19,9,11,4,7,7537,7537,14759,7537 9421 14759 15073 19469 24179 30773 32971 35797,14759 19469 24179 30773
163,18,11,8,5,25,17,11,7,4,5869,5869,7499,5869 7499 8803 10433 11411 13367 15649 16301 18257 18583 23473 26407 27059 30319 34231 34883 36187,7499 10433 11411 16301 18257 27059 34883
167,13,8,5,4,21,12,8,5,3,7349,7349,7349,7349 14029 15031 18371 19373 21377 26053 26387 29059 31063 31397 39079,7349 19373 21377 26387 31397
173,19,15,9,6,30,23,13,9,4,347,347,347,347 2423 3461 4153 6229 9343 9689 12457 13841 14533 19031 21107 21799 25951 28027 30449 36677 37369 39791 40483 40829 43597 43943,347 2423 3461 9689 13841 19031 30449 39791 40829
179,20,11,11,7,30,17,14,9,5,1433,1433,1433,1433 7877 14321 16111 18617 19333 20407 21839 23629 28283 30431 37591 39023 41887 42961 43319 46183,1433 7877 14321 18617 21839 28283 30431 39023 43319
181,22,11,10,6,32,18,13,8,5,1811,1811,1811,1811 5431 10499 10861 12671 13757 14843 23893 24979 28961 30047 35839 37649 39097 39821 43441 45613 46337,1811 10499 12671 13757 14843 30047 37649 39821
